date,DB,G1,G2,G3,G4,G5,G6,G7
2025-06-13,90402,5768,77894 92815,53421 19052 23519 27872 89226 48429,0049 2432 4253 8353,9878 2918 0124 3754 5922 6047,691 847 316,98 68 52 54
2025-06-12,37649,42991,09908 38599,22453 85088 78532 22109 28564 41867,7696 8940 1654 8755,6997 3566 1144 3502 7724 3609,773 603 900,43 10 34 36
2025-06-11,57457,45535,51484 31610,77982 66356 44083 52749 80543 82109,7998 9998 4853 6521,3806 2731 2047 2385 0132 2354,265 284 051,48 77 74 01
2025-06-10,11139,95413,12086 20833,58186 51412 08662 99557 84156 53681,0005 4841 4117 7213,9621 8386 7908 7022 0475 3475,956 676 405,12 92 76 71
2025-06-09,23488,96936,69805 31773,75081 23498 78036 19603 02229 02040,6776 8134 3045 0363,3425 8140 7305 1112 4645 1552,141 227 715,31 62 44 23
2025-06-08,67490,78576,48328 64774,09348 43608 22577 72099 50012 80967,6639 1018 1859 6446,3313 5410 8588 3226 4196 6847,302 803 952,01 80 17 41
2025-06-07,67142,7086,93134 69606,86057 32814 53612 19401 58367 93916,0419 7118 3279 7158,8814 9538 0314 3723 9201 4619,589 226 061,79 52 82 61
2025-06-06,44792,3608,86000 64720,57612 57854 79841 59139 79298 82797,8577 7362 4025 5012,9730 9389 6789 1850 9881 9201,237 234 022,20 41 76 19
2025-06-05,81062,435,97168 02728,09121 20539 00564 59713 59172 30057,4081 3673 6542 0664,6497 4350 3535 0541 1633 0906,915 805 031,95 30 87 86
2025-06-04,37921,32098,76169 10479,86740 29697 17169 30664 85289 65955,8480 7522 2956 7471,3919 8723 1456 4640 3891 0025,831 694 705,22 51 71 55
2025-06-03,61194,47634,87077 41121,16245 04659 81887 11375 95659 04135,7802 6032 9180 4671,1168 7118 4097 7275 5982 3138,810 730 148,72 39 35 13
2025-06-02,74268,58360,00398 19382,22369 23814 32771 42198 18920 72976,5139 2250 9482 1186,2972 9974 4520 9120 7097 5040,239 645 274,11 12 94 84
2025-06-01,55139,20690,74769 38063,13360 56508 32540 11058 34922 51401,7950 5978 8821 0830,7190 2672 9858 3119 6093 0037,842 981 511,21 58 83 30
2025-05-31,98585,98551,49899 53071,46248 93512 16572 39823 50594 11769,2511 0770 6957 3715,8024 0128 5067 0208 7924 0122,571 620 347,67 51 09 21
2025-05-30,75476,65206,49539 27171,55130 31079 51152 32275 88629 40537,7208 5287 9211 2898,3649 8471 8732 9988 3533 5032,369 719 344,41 04 95 64
2025-05-29,76901,49334,26013 65242,21603 83257 20797 17760 32822 70260,3787 5717 9080 8111,8127 9310 9653 6114 2105 5667,155 623 858,77 90 25 93
2025-05-28,27634,95953,63828 88926,10330 72375 95416 06622 41822 64937,3203 3000 8254 8382,4169 6955 4558 8003 0529 0358,984 873 568,52 33 98 37
2025-05-27,93735,84193,28266 46345,99568 32674 30576 03693 32220 09852,7220 3060 1801 5251,7130 7278 8916 3626 0272 3702,365 749 394,37 79 03 06
2025-05-26,96768,1088,97194 14800,82007 02818 10799 31678 11741 90814,4769 4932 9841 5064,3927 8220 5531 1072 0634 0358,484 625 932,42 86 83 19
2025-05-25,64435,76145,18081 42268,41834 64594 94285 83209 56737 12928,8758 1730 4335 0414,2515 1825 8060 9573 0403 6094,761 756 166,08 51 35 25
2025-05-24,87064,25478,05579 09881,94449 25089 16824 53878 11106 75300,7651 0413 7523 8736,8295 9043 4378 4871 8091 5056,538 495 554,88 29 28 52
2025-05-23,93358,38874,25389 10920,48039 96933 13098 72171 90388 85723,0353 9244 8369 2570,4471 7131 3707 2599 5354 5061,792 657 629,32 96 57 11
2025-05-22,61905,23990,45612 74430,73804 79246 38559 49844 82732 71563,8097 1046 9600 2310,8975 8875 0855 6081 1318 7743,185 940 418,97 65 68 44
2025-05-21,1318,91175,91903 88486,69815 25785 04382 21506 71116 08507,7050 9666 8469 9034,6158 8378 2496 0209 7099 0501,716 079 746,12 75 56 84
2025-05-20,71157,32908,31563 45772,87545 90688 07306 69763 16661 62354,8291 5881 6887 4376,7954 9050 5385 4830 2184 6319,673 226 499,19 47 80 34
2025-05-19,132,97630,76905 32370,78322 73672 36449 58772 61466 45257,3698 3847 9931 5898,2065 0533 0872 3008 3425 2093,114 124 166,08 35 82 19
2025-05-18,21263,35824,24610 00458,68122 77066 03067 54313 68530 36930,4950 6864 4202 5350,1380 5450 2851 8307 6205 1822,995 304 403,77 08 05 09
2025-05-17,81936,31605,70586 07506,96068 91893 08181 72444 60898 67281,2057 5538 8140 4724,6428 1000 2645 5464 4113 8818,280 429 151,20 27 74 89
2025-05-16,27987,50566,36556 02620,84084 81082 21383 82811 03629 39655,0625 2144 7783 0032,5555 1526 2338 0876 9404 0578,357 669 682,99 04 91 52
2025-05-14,70130,95232,64491 09749,43211 82166 58258 25755 96988 74736,4736 6566 8937 1046,6176 2834 5886 5740 4289 1645,661 962 541,80 76 18 09
2025-05-13,53609,93499,58959 71774,09113 46454 41631 75651 84525 99578,4111 7277 6559 0348,6996 9358 1872 3380 9306 6324,199 730 684,47 31 64 05
2025-05-12,62640,14561,53264 18044,20416 89008 02694 71579 54507 92330,3174 8928 1989 0010,1571 7224 5336 7891 8676 5259,945 388 789,30 55 57 06
2025-05-11,177,52567,68101 82803,92176 37092 90348 31490 38131 57488,4886 5239 5431 5609,4704 2634 1557 8994 4244 2473,192 268 018,32 76 38 45
2025-05-10,74022,1104,68869 08704,86863 16602 18908 13771 73806 14362,2494 7000 6119 4431,2238 5156 3862 4140 5065 3201,612 003 000,88 30 24 10
2025-05-09,62809,11870,67499 21131,95848 22778 41176 03643 17264 55674,8050 5156 6991 2974,5764 3841 8460 1063 2155 4622,569 981 973,72 09 75 58
2025-05-08,34102,83628,93572 68158,46418 87285 95438 99647 44082 06607,1633 3504 1936 1010,3835 6863 6256 5681 7070 8739,756 045 658,93 14 68 60
2025-05-07,45794,90210,83637 57560,10330 98990 05062 51140 74145 34759,2979 0836 2110 6698,9301 9377 0145 2218 6346 8707,258 933 342,37 80 49 11
2025-05-06,22024,47421,54078 94032,04370 93445 44110 68245 26001 22618,2976 1999 2854 3419,2215 8874 9697 0263 4585 1488,432 455 662,02 54 63 72
2025-05-05,48513,77453,43477 35472,72742 59249 31475 74830 63517 36467,5139 6572 1289 1522,1433 1022 8504 5330 4489 8465,771 354 693,15 03 78 71
2025-05-04,78666,8264,95851 51319,02793 01209 42378 89957 13174 72424,6590 4383 5627 5751,7510 4566 6891 4252 8656 1027,233 065 606,40 53 63 92
2025-05-03,97599,18557,37863 15837,94909 82388 20095 33109 10846 15543,7754 3461 8996 0994,2984 4370 3207 2251 8186 5941,334 585 854,15 67 94 76
2025-05-02,72624,30110,84955 63236,71762 52244 90383 44939 25914 54592,6718 0563 4190 9936,1368 5541 6945 3370 6437 7955,543 840 637,63 89 75 61
2025-05-01,15031,94271,10174 60744,84513 43477 48934 98091 04199 17789,9321 6923 8206 0219,1709 2158 9079 4875 1474 2721,629 690 989,06 04 11 21
2025-04-30,53078,38822,93316 70828,20028 93965 76530 01948 44899 01191,6822 2507 6624 1906,9800 4549 0685 4777 0450 0417,886 921 159,75 27 38 35
2025-04-29,77558,76621,05745 68001,49567 17498 44294 60415 63586 05602,3314 1724 1857 5460,1908 9456 4419 3442 0926 7348,098 906 352,21 02 88 57
2025-04-28,75140,16674,26182 65386,20994 95654 42069 63708 90138 39178,9561 8879 5035 9376,9932 6654 9505 7577 4218 1174,818 873 697,19 73 22 31
2025-04-27,27368,23908,68161 95882,10322 23315 74907 40681 14048 96963,9732 3557 2298 8543,2038 5749 1173 9149 1304 3284,386 210 833,57 48 49 28
2025-04-26,38497,5420,77564 30022,34158 28601 05813 52542 16434 69489,5903 5297 7048 4268,6129 1274 2306 2960 5841 5919,024 236 885,67 45 04 47
